----------------------------------------------------------------------------------------------------
Make Directory citeseer/Gaussian_GCNConv in Logs
[91mSep27-11:07:15[0m
----------------------------------------------------------------------------------------------------
[citeseer]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.001 unweighted_MSE=False diffusion_steps=80 schedule=True weight_decay=0.003 cat=False skip=False
nhid=16 layers=2 linears=2
----------------------------------------------------------------------------------------------------
[EPOCH 0001] | train acc: 2.066e-01 | val acc: 2.097e-01 | val graph: 1.320e-01 | test node: 1.863e-01 | test graph: 1.020e-01
[EPOCH 0201] | train acc: 1.694e-01 | val acc: 1.939e-01 | val graph: 6.600e-02 | test node: 1.665e-01 | test graph: 4.600e-02
[EPOCH 0401] | train acc: 1.777e-01 | val acc: 1.992e-01 | val graph: 1.280e-01 | test node: 2.127e-01 | test graph: 1.180e-01
[EPOCH 0601] | train acc: 2.128e-01 | val acc: 2.124e-01 | val graph: 1.340e-01 | test node: 2.266e-01 | test graph: 1.330e-01
[EPOCH 0801] | train acc: 1.880e-01 | val acc: 1.700e-01 | val graph: 1.080e-01 | test node: 1.639e-01 | test graph: 1.070e-01
[EPOCH 1001] | train acc: 4.442e-01 | val acc: 3.888e-01 | val graph: 1.920e-01 | test node: 3.586e-01 | test graph: 1.420e-01
[EPOCH 1201] | train acc: 4.029e-01 | val acc: 3.448e-01 | val graph: 1.560e-01 | test node: 3.264e-01 | test graph: 1.320e-01
[EPOCH 1401] | train acc: 4.050e-01 | val acc: 3.332e-01 | val graph: 1.500e-01 | test node: 3.245e-01 | test graph: 1.500e-01
[EPOCH 1601] | train acc: 1.343e-01 | val acc: 6.992e-02 | val graph: 2.200e-02 | test node: 7.018e-02 | test graph: 2.500e-02
[EPOCH 1801] | train acc: 4.339e-01 | val acc: 3.681e-01 | val graph: 1.820e-01 | test node: 3.488e-01 | test graph: 1.710e-01
[EPOCH 2001] | train acc: 4.360e-01 | val acc: 3.983e-01 | val graph: 1.920e-01 | test node: 3.778e-01 | test graph: 1.810e-01
[EPOCH 2201] | train acc: 4.318e-01 | val acc: 3.718e-01 | val graph: 1.860e-01 | test node: 3.578e-01 | test graph: 1.700e-01
[EPOCH 2401] | train acc: 3.471e-01 | val acc: 2.500e-01 | val graph: 1.320e-01 | test node: 2.517e-01 | test graph: 1.320e-01
[EPOCH 2601] | train acc: 2.562e-01 | val acc: 2.712e-01 | val graph: 1.120e-01 | test node: 2.485e-01 | test graph: 9.000e-02
[EPOCH 2801] | train acc: 4.483e-01 | val acc: 4.401e-01 | val graph: 2.240e-01 | test node: 4.090e-01 | test graph: 1.800e-01
[EPOCH 3001] | train acc: 4.442e-01 | val acc: 4.492e-01 | val graph: 2.280e-01 | test node: 4.158e-01 | test graph: 1.850e-01
[EPOCH 3201] | train acc: 4.442e-01 | val acc: 4.274e-01 | val graph: 2.060e-01 | test node: 4.026e-01 | test graph: 1.730e-01
[EPOCH 3401] | train acc: 2.955e-01 | val acc: 2.203e-01 | val graph: 1.340e-01 | test node: 2.483e-01 | test graph: 1.510e-01
[EPOCH 3601] | train acc: 4.463e-01 | val acc: 4.470e-01 | val graph: 2.360e-01 | test node: 4.058e-01 | test graph: 1.860e-01
[EPOCH 3801] | train acc: 4.442e-01 | val acc: 4.481e-01 | val graph: 2.300e-01 | test node: 4.092e-01 | test graph: 1.870e-01
[EPOCH 4001] | train acc: 4.545e-01 | val acc: 4.534e-01 | val graph: 2.360e-01 | test node: 4.150e-01 | test graph: 1.830e-01
[EPOCH 4201] | train acc: 3.388e-01 | val acc: 2.664e-01 | val graph: 1.100e-01 | test node: 2.570e-01 | test graph: 9.900e-02
[EPOCH 4401] | train acc: 4.669e-01 | val acc: 4.592e-01 | val graph: 2.380e-01 | test node: 4.274e-01 | test graph: 1.980e-01
[EPOCH 4601] | train acc: 4.442e-01 | val acc: 4.439e-01 | val graph: 2.340e-01 | test node: 4.011e-01 | test graph: 1.820e-01
[EPOCH 4801] | train acc: 1.343e-01 | val acc: 1.801e-01 | val graph: 1.540e-01 | test node: 2.055e-01 | test graph: 1.580e-01
[EPOCH 5001] | train acc: 3.802e-01 | val acc: 4.137e-01 | val graph: 1.740e-01 | test node: 3.873e-01 | test graph: 1.520e-01
[EPOCH 5201] | train acc: 4.421e-01 | val acc: 4.465e-01 | val graph: 2.240e-01 | test node: 4.063e-01 | test graph: 1.790e-01
[EPOCH 5401] | train acc: 4.442e-01 | val acc: 4.423e-01 | val graph: 2.320e-01 | test node: 4.040e-01 | test graph: 1.870e-01
[EPOCH 5601] | train acc: 4.442e-01 | val acc: 4.412e-01 | val graph: 2.300e-01 | test node: 4.026e-01 | test graph: 1.860e-01
[EPOCH 5801] | train acc: 4.442e-01 | val acc: 4.380e-01 | val graph: 2.280e-01 | test node: 4.021e-01 | test graph: 1.880e-01
[EPOCH 6001] | train acc: 5.702e-01 | val acc: 5.154e-01 | val graph: 2.760e-01 | test node: 4.828e-01 | test graph: 2.460e-01
[EPOCH 6201] | train acc: 4.442e-01 | val acc: 4.301e-01 | val graph: 2.260e-01 | test node: 3.982e-01 | test graph: 1.850e-01
[EPOCH 6401] | train acc: 4.855e-01 | val acc: 4.391e-01 | val graph: 2.280e-01 | test node: 4.055e-01 | test graph: 1.880e-01
[EPOCH 6601] | train acc: 5.868e-01 | val acc: 5.387e-01 | val graph: 3.060e-01 | test node: 4.984e-01 | test graph: 2.680e-01
[EPOCH 6801] | train acc: 6.777e-01 | val acc: 5.334e-01 | val graph: 2.840e-01 | test node: 5.135e-01 | test graph: 2.610e-01
[EPOCH 7001] | train acc: 6.777e-01 | val acc: 5.265e-01 | val graph: 2.780e-01 | test node: 5.013e-01 | test graph: 2.550e-01
