----------------------------------------------------------------------------------------------------
Make Directory cora/Gaussian_SAGEConv in Logs
[91mSep27-11:17:50[0m
----------------------------------------------------------------------------------------------------
[cora]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.001 unweighted_MSE=False diffusion_steps=80 schedule=True weight_decay=0.001 cat=False skip=False
nhid=64 layers=4 linears=2
----------------------------------------------------------------------------------------------------
[EPOCH 0001] | train acc: 1.530e-01 | val acc: 2.880e-01 | val graph: 2.180e-01 | test node: 2.899e-01 | test graph: 2.160e-01
[EPOCH 0101] | train acc: 1.491e-01 | val acc: 1.556e-01 | val graph: 1.100e-01 | test node: 1.526e-01 | test graph: 1.070e-01
[EPOCH 0201] | train acc: 1.298e-01 | val acc: 1.033e-01 | val graph: 6.800e-02 | test node: 1.019e-01 | test graph: 6.100e-02
[EPOCH 0301] | train acc: 1.607e-01 | val acc: 2.900e-01 | val graph: 2.100e-01 | test node: 2.944e-01 | test graph: 2.080e-01
[EPOCH 0401] | train acc: 1.645e-01 | val acc: 1.148e-01 | val graph: 3.000e-02 | test node: 9.083e-02 | test graph: 4.700e-02
[EPOCH 0501] | train acc: 1.298e-01 | val acc: 1.033e-01 | val graph: 6.800e-02 | test node: 1.019e-01 | test graph: 6.100e-02
[EPOCH 0601] | train acc: 4.165e-01 | val acc: 2.672e-01 | val graph: 1.360e-01 | test node: 2.373e-01 | test graph: 1.420e-01
[EPOCH 0701] | train acc: 7.121e-01 | val acc: 5.866e-01 | val graph: 3.580e-01 | test node: 5.639e-01 | test graph: 3.770e-01
[EPOCH 0801] | train acc: 7.738e-01 | val acc: 6.250e-01 | val graph: 4.120e-01 | test node: 6.358e-01 | test graph: 4.380e-01
[EPOCH 0901] | train acc: 8.123e-01 | val acc: 6.989e-01 | val graph: 4.780e-01 | test node: 6.823e-01 | test graph: 4.730e-01
[EPOCH 1001] | train acc: 7.969e-01 | val acc: 6.234e-01 | val graph: 3.920e-01 | test node: 6.084e-01 | test graph: 3.940e-01
[EPOCH 1101] | train acc: 8.201e-01 | val acc: 7.226e-01 | val graph: 5.020e-01 | test node: 7.048e-01 | test graph: 4.890e-01
[EPOCH 1201] | train acc: 9.010e-01 | val acc: 7.712e-01 | val graph: 5.520e-01 | test node: 7.610e-01 | test graph: 5.530e-01
[EPOCH 1301] | train acc: 9.036e-01 | val acc: 7.316e-01 | val graph: 4.900e-01 | test node: 7.309e-01 | test graph: 4.870e-01
[EPOCH 1401] | train acc: 9.319e-01 | val acc: 7.667e-01 | val graph: 5.300e-01 | test node: 7.617e-01 | test graph: 5.360e-01
[EPOCH 1501] | train acc: 9.396e-01 | val acc: 8.064e-01 | val graph: 5.660e-01 | test node: 8.022e-01 | test graph: 5.750e-01
[EPOCH 1601] | train acc: 9.306e-01 | val acc: 7.859e-01 | val graph: 5.520e-01 | test node: 7.920e-01 | test graph: 5.670e-01
[EPOCH 1701] | train acc: 9.486e-01 | val acc: 8.060e-01 | val graph: 5.640e-01 | test node: 8.094e-01 | test graph: 5.710e-01
[EPOCH 1801] | train acc: 9.537e-01 | val acc: 8.113e-01 | val graph: 5.620e-01 | test node: 8.164e-01 | test graph: 5.740e-01
[EPOCH 1901] | train acc: 9.692e-01 | val acc: 8.252e-01 | val graph: 5.780e-01 | test node: 8.230e-01 | test graph: 5.920e-01
[EPOCH 2001] | train acc: 9.769e-01 | val acc: 8.064e-01 | val graph: 5.440e-01 | test node: 8.077e-01 | test graph: 5.740e-01
[EPOCH 2101] | train acc: 9.807e-01 | val acc: 8.215e-01 | val graph: 5.580e-01 | test node: 8.166e-01 | test graph: 5.700e-01
[EPOCH 2201] | train acc: 9.897e-01 | val acc: 8.154e-01 | val graph: 5.440e-01 | test node: 8.132e-01 | test graph: 5.640e-01
[EPOCH 2301] | train acc: 9.884e-01 | val acc: 8.199e-01 | val graph: 5.660e-01 | test node: 8.171e-01 | test graph: 5.670e-01
[EPOCH 2401] | train acc: 9.949e-01 | val acc: 8.064e-01 | val graph: 5.380e-01 | test node: 8.111e-01 | test graph: 5.490e-01
[EPOCH 2501] | train acc: 9.961e-01 | val acc: 8.182e-01 | val graph: 5.540e-01 | test node: 8.205e-01 | test graph: 5.770e-01
[EPOCH 2601] | train acc: 9.974e-01 | val acc: 8.227e-01 | val graph: 5.540e-01 | test node: 8.279e-01 | test graph: 5.760e-01
[EPOCH 2701] | train acc: 1.000e+00 | val acc: 8.280e-01 | val graph: 5.620e-01 | test node: 8.264e-01 | test graph: 5.730e-01
[EPOCH 2801] | train acc: 1.000e+00 | val acc: 8.199e-01 | val graph: 5.500e-01 | test node: 8.217e-01 | test graph: 5.700e-01
[EPOCH 2901] | train acc: 1.000e+00 | val acc: 8.252e-01 | val graph: 5.540e-01 | test node: 8.249e-01 | test graph: 5.700e-01
[EPOCH 3001] | train acc: 1.000e+00 | val acc: 8.174e-01 | val graph: 5.400e-01 | test node: 8.162e-01 | test graph: 5.570e-01
[EPOCH 3101] | train acc: 1.000e+00 | val acc: 8.035e-01 | val graph: 5.360e-01 | test node: 8.126e-01 | test graph: 5.650e-01
[EPOCH 3201] | train acc: 1.000e+00 | val acc: 8.068e-01 | val graph: 5.300e-01 | test node: 8.107e-01 | test graph: 5.470e-01
[EPOCH 3301] | train acc: 1.000e+00 | val acc: 8.194e-01 | val graph: 5.480e-01 | test node: 8.177e-01 | test graph: 5.630e-01
[EPOCH 3401] | train acc: 1.000e+00 | val acc: 8.076e-01 | val graph: 5.380e-01 | test node: 8.122e-01 | test graph: 5.570e-01
[EPOCH 3501] | train acc: 1.000e+00 | val acc: 8.154e-01 | val graph: 5.440e-01 | test node: 8.200e-01 | test graph: 5.530e-01
[EPOCH 3601] | train acc: 1.000e+00 | val acc: 8.162e-01 | val graph: 5.440e-01 | test node: 8.183e-01 | test graph: 5.580e-01
[EPOCH 3701] | train acc: 1.000e+00 | val acc: 7.512e-01 | val graph: 4.980e-01 | test node: 7.653e-01 | test graph: 4.980e-01
[EPOCH 3801] | train acc: 1.000e+00 | val acc: 8.129e-01 | val graph: 5.480e-01 | test node: 8.139e-01 | test graph: 5.620e-01
[EPOCH 3901] | train acc: 1.000e+00 | val acc: 8.064e-01 | val graph: 5.460e-01 | test node: 8.111e-01 | test graph: 5.620e-01
[EPOCH 4001] | train acc: 1.000e+00 | val acc: 8.113e-01 | val graph: 5.500e-01 | test node: 8.202e-01 | test graph: 5.690e-01
[EPOCH 4101] | train acc: 1.000e+00 | val acc: 8.117e-01 | val graph: 5.500e-01 | test node: 8.141e-01 | test graph: 5.480e-01
[EPOCH 4201] | train acc: 1.000e+00 | val acc: 8.256e-01 | val graph: 5.700e-01 | test node: 8.275e-01 | test graph: 5.720e-01
[EPOCH 4301] | train acc: 1.000e+00 | val acc: 8.264e-01 | val graph: 5.720e-01 | test node: 8.232e-01 | test graph: 5.620e-01
[EPOCH 4401] | train acc: 1.000e+00 | val acc: 8.243e-01 | val graph: 5.700e-01 | test node: 8.249e-01 | test graph: 5.780e-01
[EPOCH 4501] | train acc: 1.000e+00 | val acc: 8.207e-01 | val graph: 5.580e-01 | test node: 8.258e-01 | test graph: 5.740e-01
[EPOCH 4601] | train acc: 1.000e+00 | val acc: 8.080e-01 | val graph: 5.440e-01 | test node: 8.156e-01 | test graph: 5.490e-01
[EPOCH 4701] | train acc: 1.000e+00 | val acc: 8.260e-01 | val graph: 5.800e-01 | test node: 8.224e-01 | test graph: 5.770e-01
[EPOCH 4801] | train acc: 1.000e+00 | val acc: 8.272e-01 | val graph: 5.740e-01 | test node: 8.287e-01 | test graph: 5.830e-01
[EPOCH 4901] | train acc: 1.000e+00 | val acc: 7.970e-01 | val graph: 5.420e-01 | test node: 7.965e-01 | test graph: 5.400e-01
[EPOCH 5001] | train acc: 1.000e+00 | val acc: 8.284e-01 | val graph: 5.740e-01 | test node: 8.262e-01 | test graph: 5.760e-01
[EPOCH 5101] | train acc: 9.987e-01 | val acc: 8.162e-01 | val graph: 5.520e-01 | test node: 8.120e-01 | test graph: 5.610e-01
[EPOCH 5201] | train acc: 1.000e+00 | val acc: 8.105e-01 | val graph: 5.500e-01 | test node: 8.179e-01 | test graph: 5.670e-01
[EPOCH 5301] | train acc: 1.000e+00 | val acc: 8.243e-01 | val graph: 5.580e-01 | test node: 8.262e-01 | test graph: 5.750e-01
[EPOCH 5401] | train acc: 1.000e+00 | val acc: 8.248e-01 | val graph: 5.640e-01 | test node: 8.283e-01 | test graph: 5.760e-01
[EPOCH 5501] | train acc: 1.000e+00 | val acc: 8.235e-01 | val graph: 5.700e-01 | test node: 8.262e-01 | test graph: 5.750e-01
[EPOCH 5601] | train acc: 1.000e+00 | val acc: 7.904e-01 | val graph: 5.240e-01 | test node: 7.975e-01 | test graph: 5.420e-01
[EPOCH 5701] | train acc: 1.000e+00 | val acc: 8.170e-01 | val graph: 5.500e-01 | test node: 8.192e-01 | test graph: 5.640e-01
[EPOCH 5801] | train acc: 1.000e+00 | val acc: 8.248e-01 | val graph: 5.700e-01 | test node: 8.258e-01 | test graph: 5.870e-01
[EPOCH 5901] | train acc: 1.000e+00 | val acc: 7.778e-01 | val graph: 5.200e-01 | test node: 7.685e-01 | test graph: 5.330e-01
[EPOCH 6001] | train acc: 1.000e+00 | val acc: 8.239e-01 | val graph: 5.640e-01 | test node: 8.262e-01 | test graph: 5.730e-01
[EPOCH 6101] | train acc: 1.000e+00 | val acc: 8.321e-01 | val graph: 5.780e-01 | test node: 8.296e-01 | test graph: 5.780e-01
[EPOCH 6201] | train acc: 1.000e+00 | val acc: 8.166e-01 | val graph: 5.640e-01 | test node: 8.200e-01 | test graph: 5.810e-01
[EPOCH 6301] | train acc: 1.000e+00 | val acc: 8.276e-01 | val graph: 5.760e-01 | test node: 8.277e-01 | test graph: 5.840e-01
[EPOCH 6401] | train acc: 1.000e+00 | val acc: 8.272e-01 | val graph: 5.720e-01 | test node: 8.217e-01 | test graph: 5.770e-01
[EPOCH 6501] | train acc: 1.000e+00 | val acc: 8.215e-01 | val graph: 5.580e-01 | test node: 8.222e-01 | test graph: 5.730e-01
[EPOCH 6601] | train acc: 1.000e+00 | val acc: 8.301e-01 | val graph: 5.740e-01 | test node: 8.236e-01 | test graph: 5.660e-01
[EPOCH 6701] | train acc: 1.000e+00 | val acc: 8.227e-01 | val graph: 5.620e-01 | test node: 8.219e-01 | test graph: 5.620e-01
[EPOCH 6801] | train acc: 1.000e+00 | val acc: 8.260e-01 | val graph: 5.720e-01 | test node: 8.279e-01 | test graph: 5.800e-01
[EPOCH 6901] | train acc: 1.000e+00 | val acc: 8.305e-01 | val graph: 5.720e-01 | test node: 8.230e-01 | test graph: 5.710e-01
[EPOCH 7001] | train acc: 1.000e+00 | val acc: 8.284e-01 | val graph: 5.680e-01 | test node: 8.234e-01 | test graph: 5.750e-01
[EPOCH 7101] | train acc: 1.000e+00 | val acc: 8.252e-01 | val graph: 5.640e-01 | test node: 8.217e-01 | test graph: 5.690e-01
[EPOCH 7201] | train acc: 1.000e+00 | val acc: 8.178e-01 | val graph: 5.680e-01 | test node: 8.192e-01 | test graph: 5.830e-01
[EPOCH 7301] | train acc: 1.000e+00 | val acc: 8.194e-01 | val graph: 5.580e-01 | test node: 8.207e-01 | test graph: 5.700e-01
[EPOCH 7401] | train acc: 1.000e+00 | val acc: 8.203e-01 | val graph: 5.580e-01 | test node: 8.222e-01 | test graph: 5.750e-01
[EPOCH 7501] | train acc: 1.000e+00 | val acc: 8.272e-01 | val graph: 5.760e-01 | test node: 8.340e-01 | test graph: 5.950e-01
[EPOCH 7601] | train acc: 1.000e+00 | val acc: 8.382e-01 | val graph: 5.920e-01 | test node: 8.385e-01 | test graph: 5.930e-01
[EPOCH 7701] | train acc: 1.000e+00 | val acc: 8.301e-01 | val graph: 5.840e-01 | test node: 8.300e-01 | test graph: 5.960e-01
[EPOCH 7801] | train acc: 1.000e+00 | val acc: 8.309e-01 | val graph: 5.820e-01 | test node: 8.234e-01 | test graph: 5.730e-01
[EPOCH 7901] | train acc: 1.000e+00 | val acc: 8.317e-01 | val graph: 5.720e-01 | test node: 8.272e-01 | test graph: 5.810e-01
[EPOCH 8001] | train acc: 1.000e+00 | val acc: 8.288e-01 | val graph: 5.740e-01 | test node: 8.228e-01 | test graph: 5.690e-01
[EPOCH 8101] | train acc: 1.000e+00 | val acc: 8.260e-01 | val graph: 5.600e-01 | test node: 8.253e-01 | test graph: 5.770e-01
[EPOCH 8201] | train acc: 1.000e+00 | val acc: 8.317e-01 | val graph: 5.700e-01 | test node: 8.247e-01 | test graph: 5.690e-01
[EPOCH 8301] | train acc: 9.987e-01 | val acc: 8.219e-01 | val graph: 5.620e-01 | test node: 8.207e-01 | test graph: 5.640e-01
[EPOCH 8401] | train acc: 1.000e+00 | val acc: 8.276e-01 | val graph: 5.720e-01 | test node: 8.230e-01 | test graph: 5.730e-01
[EPOCH 8501] | train acc: 1.000e+00 | val acc: 8.264e-01 | val graph: 5.760e-01 | test node: 8.194e-01 | test graph: 5.670e-01
[EPOCH 8601] | train acc: 1.000e+00 | val acc: 8.301e-01 | val graph: 5.860e-01 | test node: 8.266e-01 | test graph: 5.690e-01
[EPOCH 8701] | train acc: 1.000e+00 | val acc: 8.145e-01 | val graph: 5.480e-01 | test node: 8.079e-01 | test graph: 5.490e-01
[EPOCH 8801] | train acc: 1.000e+00 | val acc: 8.256e-01 | val graph: 5.640e-01 | test node: 8.171e-01 | test graph: 5.610e-01
[EPOCH 8901] | train acc: 1.000e+00 | val acc: 7.806e-01 | val graph: 5.200e-01 | test node: 7.699e-01 | test graph: 5.100e-01
[EPOCH 9001] | train acc: 1.000e+00 | val acc: 8.305e-01 | val graph: 5.840e-01 | test node: 8.287e-01 | test graph: 5.820e-01
[EPOCH 9101] | train acc: 1.000e+00 | val acc: 8.084e-01 | val graph: 5.320e-01 | test node: 8.107e-01 | test graph: 5.580e-01
[EPOCH 9201] | train acc: 1.000e+00 | val acc: 8.190e-01 | val graph: 5.520e-01 | test node: 8.149e-01 | test graph: 5.600e-01
[EPOCH 9301] | train acc: 1.000e+00 | val acc: 8.174e-01 | val graph: 5.520e-01 | test node: 8.236e-01 | test graph: 5.840e-01
[EPOCH 9401] | train acc: 1.000e+00 | val acc: 8.080e-01 | val graph: 5.680e-01 | test node: 8.188e-01 | test graph: 5.760e-01
[EPOCH 9501] | train acc: 1.000e+00 | val acc: 8.264e-01 | val graph: 5.740e-01 | test node: 8.260e-01 | test graph: 5.770e-01
[EPOCH 9601] | train acc: 1.000e+00 | val acc: 8.203e-01 | val graph: 5.560e-01 | test node: 8.185e-01 | test graph: 5.670e-01
[EPOCH 9701] | train acc: 1.000e+00 | val acc: 8.027e-01 | val graph: 5.340e-01 | test node: 8.084e-01 | test graph: 5.480e-01
[EPOCH 9801] | train acc: 1.000e+00 | val acc: 8.297e-01 | val graph: 5.780e-01 | test node: 8.234e-01 | test graph: 5.850e-01
[EPOCH 9901] | train acc: 1.000e+00 | val acc: 8.162e-01 | val graph: 5.480e-01 | test node: 8.164e-01 | test graph: 5.740e-01
[EPOCH 10001] | train acc: 1.000e+00 | val acc: 8.190e-01 | val graph: 5.460e-01 | test node: 8.145e-01 | test graph: 5.620e-01
[EPOCH 10101] | train acc: 1.000e+00 | val acc: 8.239e-01 | val graph: 5.640e-01 | test node: 8.194e-01 | test graph: 5.640e-01
[EPOCH 10201] | train acc: 1.000e+00 | val acc: 8.145e-01 | val graph: 5.560e-01 | test node: 8.081e-01 | test graph: 5.500e-01
[EPOCH 10301] | train acc: 1.000e+00 | val acc: 8.186e-01 | val graph: 5.480e-01 | test node: 8.128e-01 | test graph: 5.520e-01
[EPOCH 10401] | train acc: 1.000e+00 | val acc: 8.178e-01 | val graph: 5.480e-01 | test node: 8.109e-01 | test graph: 5.430e-01
[EPOCH 10501] | train acc: 1.000e+00 | val acc: 8.137e-01 | val graph: 5.340e-01 | test node: 8.137e-01 | test graph: 5.570e-01
[EPOCH 10601] | train acc: 1.000e+00 | val acc: 7.684e-01 | val graph: 5.020e-01 | test node: 7.808e-01 | test graph: 5.280e-01
[EPOCH 10701] | train acc: 1.000e+00 | val acc: 8.256e-01 | val graph: 5.720e-01 | test node: 8.279e-01 | test graph: 5.790e-01
