----------------------------------------------------------------------------------------------------
Make Directory dblp/Gaussian_GCNConv in Logs
[91mSep27-08:47:28[0m
----------------------------------------------------------------------------------------------------
[dblp]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.005 unweighted_MSE=False diffusion_steps=40 schedule=True weight_decay=0 cat=False skip=False
nhid=16 layers=2 linears=2
----------------------------------------------------------------------------------------------------
[EPOCH 0001] | train acc: 3.519e-01 | val acc: 2.815e-01 | test acc: 2.579e-01
[EPOCH 0101] | train acc: 7.122e-01 | val acc: 4.990e-01 | test acc: 3.070e-01
[EPOCH 0201] | train acc: 7.805e-01 | val acc: 7.004e-01 | test acc: 6.002e-01
[EPOCH 0301] | train acc: 8.994e-01 | val acc: 7.693e-01 | test acc: 5.278e-01
[EPOCH 0401] | train acc: 5.003e-01 | val acc: 3.934e-01 | test acc: 3.077e-01
[EPOCH 0501] | train acc: 9.236e-01 | val acc: 8.461e-01 | test acc: 8.799e-01
[EPOCH 0601] | train acc: 9.063e-01 | val acc: 7.974e-01 | test acc: 8.413e-01
[EPOCH 0701] | train acc: 7.309e-01 | val acc: 7.312e-01 | test acc: 7.235e-01
[EPOCH 0801] | train acc: 8.830e-01 | val acc: 6.789e-01 | test acc: 5.383e-01
[EPOCH 0901] | train acc: 9.336e-01 | val acc: 8.767e-01 | test acc: 6.883e-01
[EPOCH 1001] | train acc: 9.343e-01 | val acc: 8.371e-01 | test acc: 6.035e-01
[EPOCH 1101] | train acc: 9.180e-01 | val acc: 7.587e-01 | test acc: 5.158e-01
[EPOCH 1201] | train acc: 9.334e-01 | val acc: 8.652e-01 | test acc: 7.641e-01
[EPOCH 1301] | train acc: 9.342e-01 | val acc: 8.529e-01 | test acc: 6.429e-01
[EPOCH 1401] | train acc: 9.333e-01 | val acc: 8.363e-01 | test acc: 6.151e-01
[EPOCH 1501] | train acc: 9.314e-01 | val acc: 8.307e-01 | test acc: 6.226e-01
[EPOCH 1601] | train acc: 6.228e-01 | val acc: 4.642e-01 | test acc: 3.323e-01
[EPOCH 1701] | train acc: 9.382e-01 | val acc: 8.616e-01 | test acc: 6.502e-01
[EPOCH 1801] | train acc: 9.373e-01 | val acc: 8.673e-01 | test acc: 6.781e-01
[EPOCH 1901] | train acc: 9.177e-01 | val acc: 8.144e-01 | test acc: 6.122e-01
[EPOCH 2001] | train acc: 9.288e-01 | val acc: 8.703e-01 | test acc: 8.454e-01
[EPOCH 2101] | train acc: 9.203e-01 | val acc: 8.061e-01 | test acc: 5.678e-01
[EPOCH 2201] | train acc: 8.790e-01 | val acc: 7.738e-01 | test acc: 7.570e-01
[EPOCH 2301] | train acc: 8.647e-01 | val acc: 7.706e-01 | test acc: 7.863e-01
[EPOCH 2401] | train acc: 8.870e-01 | val acc: 8.063e-01 | test acc: 8.110e-01
[EPOCH 2501] | train acc: 9.246e-01 | val acc: 8.726e-01 | test acc: 8.748e-01
[EPOCH 2601] | train acc: 9.382e-01 | val acc: 8.439e-01 | test acc: 6.519e-01
[EPOCH 2701] | train acc: 9.276e-01 | val acc: 8.208e-01 | test acc: 6.310e-01
[EPOCH 2801] | train acc: 9.351e-01 | val acc: 8.694e-01 | test acc: 8.256e-01
[EPOCH 2901] | train acc: 9.396e-01 | val acc: 8.845e-01 | test acc: 8.433e-01
[EPOCH 3001] | train acc: 9.396e-01 | val acc: 8.599e-01 | test acc: 7.482e-01
[EPOCH 3101] | train acc: 9.353e-01 | val acc: 8.371e-01 | test acc: 6.698e-01
[EPOCH 3201] | train acc: 8.582e-01 | val acc: 7.793e-01 | test acc: 7.837e-01
[EPOCH 3301] | train acc: 9.396e-01 | val acc: 8.667e-01 | test acc: 7.715e-01
[EPOCH 3401] | train acc: 9.245e-01 | val acc: 8.597e-01 | test acc: 8.730e-01
[EPOCH 3501] | train acc: 9.441e-01 | val acc: 8.728e-01 | test acc: 7.307e-01
[EPOCH 3601] | train acc: 9.444e-01 | val acc: 8.811e-01 | test acc: 7.816e-01
[EPOCH 3701] | train acc: 8.056e-01 | val acc: 7.610e-01 | test acc: 7.593e-01
[EPOCH 3801] | train acc: 9.152e-01 | val acc: 7.993e-01 | test acc: 5.803e-01
[EPOCH 3901] | train acc: 9.348e-01 | val acc: 8.705e-01 | test acc: 8.375e-01
[EPOCH 4001] | train acc: 9.411e-01 | val acc: 8.529e-01 | test acc: 6.420e-01
[EPOCH 4101] | train acc: 9.125e-01 | val acc: 7.625e-01 | test acc: 5.457e-01
[EPOCH 4201] | train acc: 9.407e-01 | val acc: 8.509e-01 | test acc: 6.429e-01
[EPOCH 4301] | train acc: 9.417e-01 | val acc: 8.741e-01 | test acc: 7.907e-01
[EPOCH 4401] | train acc: 9.380e-01 | val acc: 8.516e-01 | test acc: 7.342e-01
[EPOCH 4501] | train acc: 9.427e-01 | val acc: 8.841e-01 | test acc: 7.571e-01
[EPOCH 4601] | train acc: 9.420e-01 | val acc: 8.584e-01 | test acc: 7.302e-01
[EPOCH 4701] | train acc: 9.428e-01 | val acc: 8.845e-01 | test acc: 7.080e-01
[EPOCH 4801] | train acc: 9.444e-01 | val acc: 8.735e-01 | test acc: 7.267e-01
[EPOCH 4901] | train acc: 9.447e-01 | val acc: 8.641e-01 | test acc: 7.074e-01
[EPOCH 5001] | train acc: 9.343e-01 | val acc: 8.735e-01 | test acc: 8.727e-01
[EPOCH 5101] | train acc: 9.424e-01 | val acc: 8.667e-01 | test acc: 6.548e-01
[EPOCH 5201] | train acc: 9.413e-01 | val acc: 8.786e-01 | test acc: 8.114e-01
[EPOCH 5301] | train acc: 9.413e-01 | val acc: 8.452e-01 | test acc: 6.437e-01
[EPOCH 5401] | train acc: 9.390e-01 | val acc: 8.767e-01 | test acc: 7.990e-01
[EPOCH 5501] | train acc: 9.461e-01 | val acc: 8.603e-01 | test acc: 6.487e-01
[EPOCH 5601] | train acc: 9.419e-01 | val acc: 8.805e-01 | test acc: 7.210e-01
[EPOCH 5701] | train acc: 9.477e-01 | val acc: 8.782e-01 | test acc: 7.438e-01
[EPOCH 5801] | train acc: 9.467e-01 | val acc: 8.658e-01 | test acc: 6.635e-01
[EPOCH 5901] | train acc: 9.456e-01 | val acc: 8.688e-01 | test acc: 6.610e-01
[EPOCH 6001] | train acc: 9.405e-01 | val acc: 8.771e-01 | test acc: 8.227e-01
[EPOCH 6101] | train acc: 9.428e-01 | val acc: 8.558e-01 | test acc: 6.374e-01
[EPOCH 6201] | train acc: 9.407e-01 | val acc: 8.728e-01 | test acc: 7.905e-01
[EPOCH 6301] | train acc: 9.474e-01 | val acc: 8.743e-01 | test acc: 7.305e-01
[EPOCH 6401] | train acc: 9.454e-01 | val acc: 8.529e-01 | test acc: 6.457e-01
[EPOCH 6501] | train acc: 9.471e-01 | val acc: 8.669e-01 | test acc: 6.787e-01
[EPOCH 6601] | train acc: 9.439e-01 | val acc: 8.811e-01 | test acc: 7.685e-01
[EPOCH 6701] | train acc: 9.396e-01 | val acc: 8.767e-01 | test acc: 8.358e-01
[EPOCH 6801] | train acc: 9.444e-01 | val acc: 8.711e-01 | test acc: 7.554e-01
[EPOCH 6901] | train acc: 9.439e-01 | val acc: 8.726e-01 | test acc: 7.474e-01
[EPOCH 7001] | train acc: 9.387e-01 | val acc: 8.384e-01 | test acc: 5.855e-01
[EPOCH 7101] | train acc: 9.490e-01 | val acc: 8.739e-01 | test acc: 7.160e-01
[EPOCH 7201] | train acc: 9.314e-01 | val acc: 8.290e-01 | test acc: 5.706e-01
[EPOCH 7301] | train acc: 9.476e-01 | val acc: 8.765e-01 | test acc: 7.089e-01
[EPOCH 7401] | train acc: 9.476e-01 | val acc: 8.703e-01 | test acc: 6.806e-01
[EPOCH 7501] | train acc: 9.470e-01 | val acc: 8.797e-01 | test acc: 7.377e-01
[EPOCH 7601] | train acc: 9.337e-01 | val acc: 8.731e-01 | test acc: 8.704e-01
[EPOCH 7701] | train acc: 9.280e-01 | val acc: 8.571e-01 | test acc: 8.706e-01
[EPOCH 7801] | train acc: 9.382e-01 | val acc: 8.837e-01 | test acc: 8.480e-01
[EPOCH 7901] | train acc: 9.459e-01 | val acc: 8.543e-01 | test acc: 6.436e-01
[EPOCH 8001] | train acc: 9.410e-01 | val acc: 8.580e-01 | test acc: 6.964e-01
[EPOCH 8101] | train acc: 9.454e-01 | val acc: 8.824e-01 | test acc: 7.207e-01
[EPOCH 8201] | train acc: 9.467e-01 | val acc: 8.646e-01 | test acc: 6.905e-01
[EPOCH 8301] | train acc: 9.476e-01 | val acc: 8.733e-01 | test acc: 7.286e-01
[EPOCH 8401] | train acc: 9.334e-01 | val acc: 8.756e-01 | test acc: 8.673e-01
[EPOCH 8501] | train acc: 9.425e-01 | val acc: 8.780e-01 | test acc: 7.933e-01
[EPOCH 8601] | train acc: 9.444e-01 | val acc: 8.803e-01 | test acc: 7.933e-01
[EPOCH 8701] | train acc: 9.377e-01 | val acc: 8.788e-01 | test acc: 8.547e-01
[EPOCH 8801] | train acc: 9.374e-01 | val acc: 8.797e-01 | test acc: 8.638e-01
[EPOCH 8901] | train acc: 9.414e-01 | val acc: 8.833e-01 | test acc: 8.358e-01
[EPOCH 9001] | train acc: 9.265e-01 | val acc: 8.807e-01 | test acc: 8.563e-01
[EPOCH 9101] | train acc: 9.340e-01 | val acc: 8.833e-01 | test acc: 8.743e-01
[EPOCH 9201] | train acc: 9.484e-01 | val acc: 8.612e-01 | test acc: 6.714e-01
[EPOCH 9301] | train acc: 9.265e-01 | val acc: 8.465e-01 | test acc: 8.594e-01
[EPOCH 9401] | train acc: 9.479e-01 | val acc: 8.758e-01 | test acc: 7.388e-01
[EPOCH 9501] | train acc: 9.342e-01 | val acc: 8.858e-01 | test acc: 7.729e-01
[EPOCH 9601] | train acc: 9.459e-01 | val acc: 8.854e-01 | test acc: 7.365e-01
[EPOCH 9701] | train acc: 9.464e-01 | val acc: 8.707e-01 | test acc: 7.078e-01
[EPOCH 9801] | train acc: 9.454e-01 | val acc: 8.841e-01 | test acc: 7.135e-01
[EPOCH 9901] | train acc: 9.436e-01 | val acc: 8.884e-01 | test acc: 8.093e-01
[EPOCH 10001] | train acc: 9.441e-01 | val acc: 8.794e-01 | test acc: 8.153e-01
[EPOCH 10101] | train acc: 9.479e-01 | val acc: 8.811e-01 | test acc: 7.722e-01
[EPOCH 10201] | train acc: 9.482e-01 | val acc: 8.724e-01 | test acc: 6.662e-01
[EPOCH 10301] | train acc: 9.320e-01 | val acc: 8.728e-01 | test acc: 8.010e-01
[EPOCH 10401] | train acc: 9.498e-01 | val acc: 8.801e-01 | test acc: 7.444e-01
[EPOCH 10501] | train acc: 9.485e-01 | val acc: 8.680e-01 | test acc: 6.695e-01
[EPOCH 10601] | train acc: 9.457e-01 | val acc: 8.848e-01 | test acc: 7.747e-01
[EPOCH 10701] | train acc: 9.450e-01 | val acc: 8.794e-01 | test acc: 7.647e-01
[EPOCH 10801] | train acc: 9.496e-01 | val acc: 8.739e-01 | test acc: 7.355e-01
[EPOCH 10901] | train acc: 9.468e-01 | val acc: 8.835e-01 | test acc: 7.372e-01
[EPOCH 11001] | train acc: 9.444e-01 | val acc: 8.865e-01 | test acc: 7.065e-01
[EPOCH 11101] | train acc: 9.191e-01 | val acc: 8.356e-01 | test acc: 8.076e-01
[EPOCH 11201] | train acc: 9.357e-01 | val acc: 8.845e-01 | test acc: 8.128e-01
[EPOCH 11301] | train acc: 9.425e-01 | val acc: 8.862e-01 | test acc: 7.474e-01
[EPOCH 11401] | train acc: 9.374e-01 | val acc: 8.867e-01 | test acc: 7.773e-01
[EPOCH 11501] | train acc: 9.485e-01 | val acc: 8.818e-01 | test acc: 6.619e-01
[EPOCH 11601] | train acc: 9.476e-01 | val acc: 8.835e-01 | test acc: 6.969e-01
[EPOCH 11701] | train acc: 9.444e-01 | val acc: 8.867e-01 | test acc: 8.045e-01
[EPOCH 11801] | train acc: 9.430e-01 | val acc: 8.807e-01 | test acc: 6.961e-01
[EPOCH 11901] | train acc: 9.464e-01 | val acc: 8.862e-01 | test acc: 7.782e-01
[EPOCH 12001] | train acc: 9.474e-01 | val acc: 8.667e-01 | test acc: 5.779e-01
[EPOCH 12101] | train acc: 9.420e-01 | val acc: 8.809e-01 | test acc: 7.654e-01
[EPOCH 12201] | train acc: 9.286e-01 | val acc: 8.597e-01 | test acc: 8.200e-01
[EPOCH 12301] | train acc: 9.383e-01 | val acc: 8.831e-01 | test acc: 7.416e-01
[EPOCH 12401] | train acc: 9.373e-01 | val acc: 8.733e-01 | test acc: 7.165e-01
[EPOCH 12501] | train acc: 9.404e-01 | val acc: 8.726e-01 | test acc: 7.342e-01
[EPOCH 12601] | train acc: 9.485e-01 | val acc: 8.856e-01 | test acc: 7.173e-01
[EPOCH 12701] | train acc: 9.479e-01 | val acc: 8.616e-01 | test acc: 5.651e-01
[EPOCH 12801] | train acc: 9.485e-01 | val acc: 8.841e-01 | test acc: 6.142e-01
[EPOCH 12901] | train acc: 9.464e-01 | val acc: 8.875e-01 | test acc: 6.131e-01
[EPOCH 13001] | train acc: 9.488e-01 | val acc: 8.756e-01 | test acc: 5.891e-01
[EPOCH 13101] | train acc: 9.450e-01 | val acc: 8.524e-01 | test acc: 5.424e-01
[EPOCH 13201] | train acc: 9.340e-01 | val acc: 8.556e-01 | test acc: 5.137e-01
[EPOCH 13301] | train acc: 9.387e-01 | val acc: 8.750e-01 | test acc: 6.336e-01
[EPOCH 13401] | train acc: 9.482e-01 | val acc: 8.803e-01 | test acc: 6.057e-01
[EPOCH 13501] | train acc: 9.459e-01 | val acc: 8.786e-01 | test acc: 6.048e-01
[EPOCH 13601] | train acc: 9.485e-01 | val acc: 8.614e-01 | test acc: 5.502e-01
[EPOCH 13701] | train acc: 9.499e-01 | val acc: 8.814e-01 | test acc: 6.330e-01
[EPOCH 13801] | train acc: 9.527e-01 | val acc: 8.762e-01 | test acc: 5.823e-01
[EPOCH 13901] | train acc: 9.474e-01 | val acc: 8.724e-01 | test acc: 5.507e-01
[EPOCH 14001] | train acc: 9.476e-01 | val acc: 8.837e-01 | test acc: 5.981e-01
[EPOCH 14101] | train acc: 9.471e-01 | val acc: 8.814e-01 | test acc: 5.774e-01
[EPOCH 14201] | train acc: 9.521e-01 | val acc: 8.733e-01 | test acc: 5.636e-01
[EPOCH 14301] | train acc: 9.339e-01 | val acc: 8.665e-01 | test acc: 5.608e-01
[EPOCH 14401] | train acc: 9.356e-01 | val acc: 8.745e-01 | test acc: 5.818e-01
[EPOCH 14501] | train acc: 9.493e-01 | val acc: 8.754e-01 | test acc: 5.573e-01
[EPOCH 14601] | train acc: 9.514e-01 | val acc: 8.769e-01 | test acc: 5.635e-01
[EPOCH 14701] | train acc: 9.467e-01 | val acc: 8.748e-01 | test acc: 6.089e-01
[EPOCH 14801] | train acc: 9.501e-01 | val acc: 8.801e-01 | test acc: 5.538e-01
[EPOCH 14901] | train acc: 9.491e-01 | val acc: 8.788e-01 | test acc: 5.421e-01
[EPOCH 15001] | train acc: 9.518e-01 | val acc: 8.775e-01 | test acc: 6.036e-01
[EPOCH 15101] | train acc: 9.439e-01 | val acc: 8.711e-01 | test acc: 5.736e-01
[EPOCH 15201] | train acc: 9.482e-01 | val acc: 8.799e-01 | test acc: 5.890e-01
[EPOCH 15301] | train acc: 9.474e-01 | val acc: 8.797e-01 | test acc: 5.742e-01
[EPOCH 15401] | train acc: 9.342e-01 | val acc: 8.665e-01 | test acc: 5.853e-01
[EPOCH 15501] | train acc: 9.474e-01 | val acc: 8.831e-01 | test acc: 6.013e-01
[EPOCH 15601] | train acc: 9.442e-01 | val acc: 8.767e-01 | test acc: 5.835e-01
[EPOCH 15701] | train acc: 9.474e-01 | val acc: 8.816e-01 | test acc: 5.944e-01
[EPOCH 15801] | train acc: 9.501e-01 | val acc: 8.697e-01 | test acc: 5.771e-01
[EPOCH 15901] | train acc: 9.493e-01 | val acc: 8.814e-01 | test acc: 5.955e-01
[EPOCH 16001] | train acc: 9.467e-01 | val acc: 8.745e-01 | test acc: 6.139e-01
[EPOCH 16101] | train acc: 9.476e-01 | val acc: 8.826e-01 | test acc: 6.021e-01
[EPOCH 16201] | train acc: 9.510e-01 | val acc: 8.807e-01 | test acc: 6.851e-01
[EPOCH 16301] | train acc: 9.402e-01 | val acc: 8.782e-01 | test acc: 6.368e-01
[EPOCH 16401] | train acc: 9.525e-01 | val acc: 8.775e-01 | test acc: 5.818e-01
