----------------------------------------------------------------------------------------------------
Make Directory pubmed/Gaussian_GATConv in Logs
[91mSep27-11:31:09[0m
----------------------------------------------------------------------------------------------------
[pubmed]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.001 unweighted_MSE=True diffusion_steps=80 schedule=True weight_decay=0.0005 cat=False skip=False
nhid=256 layers=2 linears=2
----------------------------------------------------------------------------------------------------
[EPOCH 0001] | train acc: 3.221e-01 | val acc: 1.835e-01 | val graph: 1.200e-01 | test node: 1.639e-01 | test graph: 8.900e-02
[EPOCH 0101] | train acc: 8.179e-01 | val acc: 7.540e-01 | val graph: 5.340e-01 | test node: 7.253e-01 | test graph: 4.790e-01
[EPOCH 0201] | train acc: 8.235e-01 | val acc: 8.024e-01 | val graph: 5.820e-01 | test node: 7.883e-01 | test graph: 5.400e-01
[EPOCH 0301] | train acc: 8.179e-01 | val acc: 7.673e-01 | val graph: 5.620e-01 | test node: 7.192e-01 | test graph: 4.990e-01
[EPOCH 0401] | train acc: 8.207e-01 | val acc: 7.973e-01 | val graph: 5.720e-01 | test node: 7.823e-01 | test graph: 5.280e-01
[EPOCH 0501] | train acc: 8.179e-01 | val acc: 7.836e-01 | val graph: 5.500e-01 | test node: 7.610e-01 | test graph: 5.140e-01
[EPOCH 0601] | train acc: 8.403e-01 | val acc: 8.095e-01 | val graph: 5.860e-01 | test node: 7.871e-01 | test graph: 5.290e-01
[EPOCH 0701] | train acc: 8.543e-01 | val acc: 8.287e-01 | val graph: 6.040e-01 | test node: 7.969e-01 | test graph: 5.530e-01
[EPOCH 0801] | train acc: 8.459e-01 | val acc: 8.213e-01 | val graph: 5.980e-01 | test node: 7.983e-01 | test graph: 5.440e-01
[EPOCH 0901] | train acc: 8.599e-01 | val acc: 8.261e-01 | val graph: 6.000e-01 | test node: 7.995e-01 | test graph: 5.420e-01
[EPOCH 1001] | train acc: 8.571e-01 | val acc: 8.073e-01 | val graph: 5.720e-01 | test node: 7.859e-01 | test graph: 5.320e-01
[EPOCH 1101] | train acc: 8.655e-01 | val acc: 8.080e-01 | val graph: 5.740e-01 | test node: 7.905e-01 | test graph: 5.350e-01
[EPOCH 1201] | train acc: 8.655e-01 | val acc: 8.139e-01 | val graph: 5.800e-01 | test node: 7.896e-01 | test graph: 5.340e-01
[EPOCH 1301] | train acc: 8.683e-01 | val acc: 7.962e-01 | val graph: 5.620e-01 | test node: 7.754e-01 | test graph: 5.110e-01
[EPOCH 1401] | train acc: 8.908e-01 | val acc: 8.076e-01 | val graph: 5.740e-01 | test node: 7.878e-01 | test graph: 5.320e-01
[EPOCH 1501] | train acc: 8.908e-01 | val acc: 8.269e-01 | val graph: 6.020e-01 | test node: 8.018e-01 | test graph: 5.470e-01
[EPOCH 1601] | train acc: 9.076e-01 | val acc: 8.187e-01 | val graph: 5.960e-01 | test node: 7.981e-01 | test graph: 5.410e-01
[EPOCH 1701] | train acc: 8.768e-01 | val acc: 8.087e-01 | val graph: 5.800e-01 | test node: 7.960e-01 | test graph: 5.420e-01
[EPOCH 1801] | train acc: 8.908e-01 | val acc: 8.169e-01 | val graph: 5.900e-01 | test node: 7.979e-01 | test graph: 5.420e-01
