----------------------------------------------------------------------------------------------------
Make Directory citeseer/Continuous_GATConv in Logs
[91mSep27-07:49:44[0m
----------------------------------------------------------------------------------------------------
[citeseer]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.01 diffusion_steps=80 temperature=0.3 schedule=True weight_decay=0.01  skip=False load start=2000
nhid=8 layers=2 linears=1
----------------------------------------------------------------------------------------------------
Pretrain mean-field GNN...
Done!
[EPOCH 0101] | train acc: 9.667e-01 | val acc: 7.320e-01 | test acc: 7.170e-01
[EPOCH 0201] | train acc: 9.667e-01 | val acc: 6.980e-01 | test acc: 7.250e-01
[EPOCH 0301] | train acc: 9.750e-01 | val acc: 7.200e-01 | test acc: 7.060e-01
[EPOCH 0401] | train acc: 9.750e-01 | val acc: 6.900e-01 | test acc: 6.960e-01
[EPOCH 0501] | train acc: 9.667e-01 | val acc: 7.100e-01 | test acc: 7.170e-01
[EPOCH 0601] | train acc: 9.750e-01 | val acc: 7.200e-01 | test acc: 7.120e-01
[EPOCH 0701] | train acc: 9.833e-01 | val acc: 7.060e-01 | test acc: 7.040e-01
[EPOCH 0801] | train acc: 9.750e-01 | val acc: 7.260e-01 | test acc: 7.300e-01
[EPOCH 0901] | train acc: 9.667e-01 | val acc: 7.080e-01 | test acc: 7.170e-01
[EPOCH 1001] | train acc: 9.667e-01 | val acc: 7.040e-01 | test acc: 7.080e-01
[EPOCH 1101] | train acc: 9.833e-01 | val acc: 6.960e-01 | test acc: 7.140e-01
[EPOCH 1201] | train acc: 9.833e-01 | val acc: 7.040e-01 | test acc: 7.310e-01
[EPOCH 1301] | train acc: 9.750e-01 | val acc: 7.120e-01 | test acc: 7.080e-01
[EPOCH 1401] | train acc: 9.667e-01 | val acc: 7.060e-01 | test acc: 7.000e-01
[EPOCH 1501] | train acc: 9.750e-01 | val acc: 7.020e-01 | test acc: 7.110e-01
[EPOCH 1601] | train acc: 9.750e-01 | val acc: 7.100e-01 | test acc: 7.090e-01
[EPOCH 1701] | train acc: 9.750e-01 | val acc: 7.220e-01 | test acc: 7.270e-01
[EPOCH 1801] | train acc: 9.667e-01 | val acc: 7.140e-01 | test acc: 7.100e-01
[EPOCH 1901] | train acc: 9.833e-01 | val acc: 7.200e-01 | test acc: 7.220e-01
[EPOCH 2001] | train acc: 9.667e-01 | val acc: 7.160e-01 | test acc: 7.050e-01
[EPOCH 2101] | train acc: 9.750e-01 | val acc: 6.980e-01 | test acc: 7.270e-01
[EPOCH 2201] | train acc: 9.750e-01 | val acc: 7.160e-01 | test acc: 7.250e-01
[EPOCH 2301] | train acc: 9.750e-01 | val acc: 7.020e-01 | test acc: 7.120e-01
[EPOCH 2401] | train acc: 9.750e-01 | val acc: 7.060e-01 | test acc: 7.110e-01
[EPOCH 2501] | train acc: 9.750e-01 | val acc: 7.080e-01 | test acc: 7.090e-01
[EPOCH 2601] | train acc: 9.917e-01 | val acc: 7.160e-01 | test acc: 7.120e-01
[EPOCH 2701] | train acc: 9.500e-01 | val acc: 7.200e-01 | test acc: 7.210e-01
[EPOCH 2801] | train acc: 9.667e-01 | val acc: 7.120e-01 | test acc: 7.280e-01
[EPOCH 2901] | train acc: 9.833e-01 | val acc: 7.260e-01 | test acc: 7.360e-01
[EPOCH 3001] | train acc: 9.750e-01 | val acc: 7.160e-01 | test acc: 7.180e-01
[EPOCH 3101] | train acc: 9.667e-01 | val acc: 7.160e-01 | test acc: 7.390e-01
[EPOCH 3201] | train acc: 9.750e-01 | val acc: 7.340e-01 | test acc: 7.370e-01
[EPOCH 3301] | train acc: 9.833e-01 | val acc: 7.280e-01 | test acc: 7.360e-01
[EPOCH 3401] | train acc: 9.833e-01 | val acc: 7.160e-01 | test acc: 7.350e-01
[EPOCH 3501] | train acc: 9.667e-01 | val acc: 7.140e-01 | test acc: 7.300e-01
[EPOCH 3601] | train acc: 9.833e-01 | val acc: 7.260e-01 | test acc: 7.320e-01
[EPOCH 3701] | train acc: 9.583e-01 | val acc: 7.260e-01 | test acc: 7.450e-01
[EPOCH 3801] | train acc: 9.583e-01 | val acc: 7.240e-01 | test acc: 7.400e-01
[EPOCH 3901] | train acc: 9.833e-01 | val acc: 7.180e-01 | test acc: 7.370e-01
