----------------------------------------------------------------------------------------------------
Make Directory Computers/Continuous_GATConv in Logs
[91mSep27-04:27:04[0m
----------------------------------------------------------------------------------------------------
[Computers]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0005 diffusion_steps=80 temperature=0.3 schedule=True weight_decay=0.0001  skip=False load start=2000
nhid=16 layers=2 linears=1
----------------------------------------------------------------------------------------------------
Pretrain mean-field GNN...
Done!
[EPOCH 0101] | train acc: 2.200e-01 | val acc: 1.900e-01 | test acc: 2.277e-01
[EPOCH 0201] | train acc: 1.900e-01 | val acc: 1.733e-01 | test acc: 1.615e-01
[EPOCH 0301] | train acc: 1.650e-01 | val acc: 1.533e-01 | test acc: 1.281e-01
[EPOCH 0401] | train acc: 2.200e-01 | val acc: 2.133e-01 | test acc: 1.456e-01
[EPOCH 0501] | train acc: 3.750e-01 | val acc: 2.900e-01 | test acc: 2.017e-01
[EPOCH 0601] | train acc: 4.500e-01 | val acc: 3.433e-01 | test acc: 2.379e-01
[EPOCH 0701] | train acc: 4.350e-01 | val acc: 3.700e-01 | test acc: 2.580e-01
[EPOCH 0801] | train acc: 5.200e-01 | val acc: 3.767e-01 | test acc: 2.764e-01
[EPOCH 0901] | train acc: 5.300e-01 | val acc: 3.533e-01 | test acc: 2.816e-01
[EPOCH 1001] | train acc: 4.700e-01 | val acc: 3.267e-01 | test acc: 2.635e-01
[EPOCH 1101] | train acc: 4.400e-01 | val acc: 3.267e-01 | test acc: 2.321e-01
[EPOCH 1201] | train acc: 4.150e-01 | val acc: 3.133e-01 | test acc: 2.250e-01
[EPOCH 1301] | train acc: 4.650e-01 | val acc: 3.100e-01 | test acc: 2.283e-01
[EPOCH 1401] | train acc: 4.700e-01 | val acc: 2.967e-01 | test acc: 2.240e-01
[EPOCH 1501] | train acc: 6.200e-01 | val acc: 4.633e-01 | test acc: 3.338e-01
[EPOCH 1601] | train acc: 6.250e-01 | val acc: 4.333e-01 | test acc: 3.302e-01
[EPOCH 1701] | train acc: 7.150e-01 | val acc: 5.600e-01 | test acc: 5.072e-01
[EPOCH 1801] | train acc: 8.350e-01 | val acc: 7.033e-01 | test acc: 7.202e-01
