----------------------------------------------------------------------------------------------------
Make Directory citeseer/Gaussian_GCNConv in Logs
[91mNov28-16:54:15[0m
----------------------------------------------------------------------------------------------------
[citeseer]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.001 unweighted_MSE=False diffusion_steps=80 schedule=True weight_decay=0.003 cat=False skip=False
nhid=16 layers=2 linears=2
----------------------------------------------------------------------------------------------------
[EPOCH 0001] | train acc: 2.066e-01 | val acc: 2.097e-01 | val graph: 1.320e-01 | test node: 1.863e-01 | test graph: 1.020e-01
[EPOCH 0201] | train acc: 1.694e-01 | val acc: 1.939e-01 | val graph: 6.600e-02 | test node: 1.665e-01 | test graph: 4.600e-02
[EPOCH 0401] | train acc: 1.777e-01 | val acc: 1.992e-01 | val graph: 1.280e-01 | test node: 2.127e-01 | test graph: 1.180e-01
[EPOCH 0601] | train acc: 2.128e-01 | val acc: 2.124e-01 | val graph: 1.340e-01 | test node: 2.266e-01 | test graph: 1.330e-01
[EPOCH 0801] | train acc: 1.880e-01 | val acc: 1.700e-01 | val graph: 1.080e-01 | test node: 1.639e-01 | test graph: 1.070e-01
[EPOCH 1001] | train acc: 4.421e-01 | val acc: 3.877e-01 | val graph: 1.920e-01 | test node: 3.588e-01 | test graph: 1.430e-01
[EPOCH 1201] | train acc: 4.008e-01 | val acc: 3.443e-01 | val graph: 1.500e-01 | test node: 3.266e-01 | test graph: 1.330e-01
[EPOCH 1401] | train acc: 4.050e-01 | val acc: 3.332e-01 | val graph: 1.500e-01 | test node: 3.253e-01 | test graph: 1.500e-01
[EPOCH 1601] | train acc: 1.322e-01 | val acc: 6.992e-02 | val graph: 2.200e-02 | test node: 6.992e-02 | test graph: 2.500e-02
[EPOCH 1801] | train acc: 4.339e-01 | val acc: 3.681e-01 | val graph: 1.820e-01 | test node: 3.485e-01 | test graph: 1.720e-01
[EPOCH 2001] | train acc: 4.360e-01 | val acc: 3.972e-01 | val graph: 1.900e-01 | test node: 3.763e-01 | test graph: 1.800e-01
[EPOCH 2201] | train acc: 4.298e-01 | val acc: 3.766e-01 | val graph: 1.920e-01 | test node: 3.604e-01 | test graph: 1.710e-01
[EPOCH 2401] | train acc: 2.831e-01 | val acc: 2.161e-01 | val graph: 1.180e-01 | test node: 2.021e-01 | test graph: 1.120e-01
[EPOCH 2601] | train acc: 2.397e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.454e-01 | test graph: 9.000e-02
[EPOCH 2801] | train acc: 4.483e-01 | val acc: 4.296e-01 | val graph: 2.160e-01 | test node: 3.984e-01 | test graph: 1.780e-01
[EPOCH 3001] | train acc: 4.545e-01 | val acc: 4.507e-01 | val graph: 2.300e-01 | test node: 4.182e-01 | test graph: 1.850e-01
[EPOCH 3201] | train acc: 4.401e-01 | val acc: 4.317e-01 | val graph: 2.080e-01 | test node: 4.082e-01 | test graph: 1.770e-01
[EPOCH 3401] | train acc: 4.421e-01 | val acc: 4.486e-01 | val graph: 2.300e-01 | test node: 4.063e-01 | test graph: 1.830e-01
[EPOCH 3601] | train acc: 4.442e-01 | val acc: 4.523e-01 | val graph: 2.280e-01 | test node: 4.129e-01 | test graph: 1.900e-01
[EPOCH 3801] | train acc: 4.380e-01 | val acc: 4.534e-01 | val graph: 2.280e-01 | test node: 4.132e-01 | test graph: 1.870e-01
[EPOCH 4001] | train acc: 4.442e-01 | val acc: 4.518e-01 | val graph: 2.320e-01 | test node: 4.135e-01 | test graph: 1.920e-01
[EPOCH 4201] | train acc: 4.773e-01 | val acc: 3.787e-01 | val graph: 1.820e-01 | test node: 3.480e-01 | test graph: 1.400e-01
[EPOCH 4401] | train acc: 4.628e-01 | val acc: 4.603e-01 | val graph: 2.360e-01 | test node: 4.272e-01 | test graph: 1.980e-01
[EPOCH 4601] | train acc: 4.442e-01 | val acc: 4.454e-01 | val graph: 2.340e-01 | test node: 4.032e-01 | test graph: 1.820e-01
[EPOCH 4801] | train acc: 3.326e-01 | val acc: 3.109e-01 | val graph: 2.000e-01 | test node: 3.422e-01 | test graph: 2.060e-01
[EPOCH 5001] | train acc: 4.545e-01 | val acc: 4.470e-01 | val graph: 2.360e-01 | test node: 4.053e-01 | test graph: 1.880e-01
[EPOCH 5201] | train acc: 4.504e-01 | val acc: 4.391e-01 | val graph: 2.320e-01 | test node: 4.016e-01 | test graph: 1.850e-01
[EPOCH 5401] | train acc: 4.587e-01 | val acc: 4.359e-01 | val graph: 2.300e-01 | test node: 3.997e-01 | test graph: 1.840e-01
[EPOCH 5601] | train acc: 4.566e-01 | val acc: 4.386e-01 | val graph: 2.320e-01 | test node: 4.058e-01 | test graph: 1.880e-01
[EPOCH 5801] | train acc: 4.669e-01 | val acc: 4.147e-01 | val graph: 2.280e-01 | test node: 3.892e-01 | test graph: 1.840e-01
[EPOCH 6001] | train acc: 4.855e-01 | val acc: 4.401e-01 | val graph: 2.320e-01 | test node: 4.108e-01 | test graph: 1.890e-01
[EPOCH 6201] | train acc: 5.434e-01 | val acc: 4.735e-01 | val graph: 2.620e-01 | test node: 4.522e-01 | test graph: 2.180e-01
[EPOCH 6401] | train acc: 6.198e-01 | val acc: 5.048e-01 | val graph: 2.760e-01 | test node: 4.818e-01 | test graph: 2.430e-01
[EPOCH 6601] | train acc: 6.694e-01 | val acc: 5.016e-01 | val graph: 2.680e-01 | test node: 4.802e-01 | test graph: 2.340e-01
[EPOCH 6801] | train acc: 6.860e-01 | val acc: 5.906e-01 | val graph: 3.380e-01 | test node: 5.728e-01 | test graph: 3.170e-01
[EPOCH 7001] | train acc: 6.426e-01 | val acc: 5.466e-01 | val graph: 3.340e-01 | test node: 5.306e-01 | test graph: 2.900e-01
