----------------------------------------------------------------------------------------------------
Make Directory cora/Gaussian_GCNConv in Logs
[91mSep27-03:57:51[0m
----------------------------------------------------------------------------------------------------
[cora]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.003 unweighted_MSE=False diffusion_steps=80 schedule=True weight_decay=0.003 cat=False skip=False
nhid=16 layers=2 linears=2
----------------------------------------------------------------------------------------------------
[EPOCH 0001] | train acc: 1.645e-01 | val acc: 1.148e-01 | val graph: 3.000e-02 | test node: 9.083e-02 | test graph: 4.700e-02
[EPOCH 0101] | train acc: 1.491e-01 | val acc: 1.556e-01 | val graph: 1.100e-01 | test node: 1.526e-01 | test graph: 1.070e-01
[EPOCH 0201] | train acc: 1.272e-01 | val acc: 1.511e-01 | val graph: 1.080e-01 | test node: 1.598e-01 | test graph: 1.040e-01
[EPOCH 0301] | train acc: 1.722e-01 | val acc: 2.900e-01 | val graph: 2.080e-01 | test node: 2.922e-01 | test graph: 2.080e-01
[EPOCH 0401] | train acc: 1.542e-01 | val acc: 2.876e-01 | val graph: 2.180e-01 | test node: 2.895e-01 | test graph: 2.160e-01
[EPOCH 0501] | train acc: 1.311e-01 | val acc: 1.532e-01 | val graph: 1.040e-01 | test node: 1.619e-01 | test graph: 1.030e-01
[EPOCH 0601] | train acc: 1.272e-01 | val acc: 1.499e-01 | val graph: 1.180e-01 | test node: 1.602e-01 | test graph: 1.120e-01
[EPOCH 0701] | train acc: 1.260e-01 | val acc: 1.495e-01 | val graph: 1.180e-01 | test node: 1.594e-01 | test graph: 1.120e-01
[EPOCH 0801] | train acc: 1.247e-01 | val acc: 1.495e-01 | val graph: 1.180e-01 | test node: 1.594e-01 | test graph: 1.120e-01
[EPOCH 0901] | train acc: 1.247e-01 | val acc: 1.495e-01 | val graph: 1.180e-01 | test node: 1.594e-01 | test graph: 1.120e-01
[EPOCH 1001] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 1101] | train acc: 1.452e-01 | val acc: 2.047e-01 | val graph: 8.400e-02 | test node: 2.286e-01 | test graph: 9.200e-02
[EPOCH 1201] | train acc: 1.247e-01 | val acc: 1.499e-01 | val graph: 1.180e-01 | test node: 1.598e-01 | test graph: 1.120e-01
[EPOCH 1301] | train acc: 1.247e-01 | val acc: 1.495e-01 | val graph: 1.180e-01 | test node: 1.598e-01 | test graph: 1.120e-01
[EPOCH 1401] | train acc: 1.247e-01 | val acc: 1.499e-01 | val graph: 1.180e-01 | test node: 1.598e-01 | test graph: 1.120e-01
[EPOCH 1501] | train acc: 1.247e-01 | val acc: 1.499e-01 | val graph: 1.180e-01 | test node: 1.598e-01 | test graph: 1.120e-01
[EPOCH 1601] | train acc: 1.285e-01 | val acc: 1.499e-01 | val graph: 1.180e-01 | test node: 1.602e-01 | test graph: 1.120e-01
[EPOCH 1701] | train acc: 1.491e-01 | val acc: 1.556e-01 | val graph: 1.100e-01 | test node: 1.526e-01 | test graph: 1.070e-01
[EPOCH 1801] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 1901] | train acc: 1.774e-01 | val acc: 1.385e-01 | val graph: 6.400e-02 | test node: 1.407e-01 | test graph: 6.400e-02
[EPOCH 2001] | train acc: 1.838e-01 | val acc: 1.487e-01 | val graph: 5.600e-02 | test node: 1.530e-01 | test graph: 5.500e-02
[EPOCH 2101] | train acc: 1.530e-01 | val acc: 2.880e-01 | val graph: 2.180e-01 | test node: 2.899e-01 | test graph: 2.160e-01
[EPOCH 2201] | train acc: 1.594e-01 | val acc: 2.876e-01 | val graph: 2.140e-01 | test node: 2.861e-01 | test graph: 2.140e-01
[EPOCH 2301] | train acc: 1.799e-01 | val acc: 1.495e-01 | val graph: 4.400e-02 | test node: 1.490e-01 | test graph: 4.600e-02
[EPOCH 2401] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 2501] | train acc: 1.311e-01 | val acc: 1.033e-01 | val graph: 6.800e-02 | test node: 1.019e-01 | test graph: 6.100e-02
[EPOCH 2601] | train acc: 1.504e-01 | val acc: 1.560e-01 | val graph: 1.100e-01 | test node: 1.524e-01 | test graph: 1.070e-01
[EPOCH 2701] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 2801] | train acc: 1.851e-01 | val acc: 1.471e-01 | val graph: 6.400e-02 | test node: 1.449e-01 | test graph: 6.300e-02
[EPOCH 2901] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 3001] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 3101] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 3201] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 3301] | train acc: 1.530e-01 | val acc: 2.880e-01 | val graph: 2.180e-01 | test node: 2.899e-01 | test graph: 2.160e-01
[EPOCH 3401] | train acc: 1.530e-01 | val acc: 2.880e-01 | val graph: 2.180e-01 | test node: 2.899e-01 | test graph: 2.160e-01
[EPOCH 3501] | train acc: 1.632e-01 | val acc: 2.855e-01 | val graph: 2.060e-01 | test node: 2.854e-01 | test graph: 2.100e-01
[EPOCH 3601] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 3701] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 3801] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 3901] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 4001] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 4101] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 4201] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 4301] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 4401] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 4501] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 4601] | train acc: 1.658e-01 | val acc: 1.148e-01 | val graph: 3.000e-02 | test node: 9.083e-02 | test graph: 4.700e-02
[EPOCH 4701] | train acc: 1.851e-01 | val acc: 1.397e-01 | val graph: 6.400e-02 | test node: 1.422e-01 | test graph: 6.400e-02
[EPOCH 4801] | train acc: 1.491e-01 | val acc: 1.556e-01 | val graph: 1.100e-01 | test node: 1.526e-01 | test graph: 1.070e-01
[EPOCH 4901] | train acc: 1.787e-01 | val acc: 1.381e-01 | val graph: 6.400e-02 | test node: 1.403e-01 | test graph: 6.400e-02
[EPOCH 5001] | train acc: 2.057e-01 | val acc: 1.409e-01 | val graph: 6.400e-02 | test node: 1.477e-01 | test graph: 6.600e-02
[EPOCH 5101] | train acc: 3.149e-01 | val acc: 2.071e-01 | val graph: 8.000e-02 | test node: 1.906e-01 | test graph: 8.600e-02
[EPOCH 5201] | train acc: 3.175e-01 | val acc: 2.190e-01 | val graph: 8.400e-02 | test node: 1.993e-01 | test graph: 9.300e-02
[EPOCH 5301] | train acc: 3.278e-01 | val acc: 2.418e-01 | val graph: 9.800e-02 | test node: 2.156e-01 | test graph: 1.060e-01
[EPOCH 5401] | train acc: 3.290e-01 | val acc: 2.394e-01 | val graph: 9.600e-02 | test node: 2.139e-01 | test graph: 1.030e-01
[EPOCH 5501] | train acc: 3.303e-01 | val acc: 2.386e-01 | val graph: 9.600e-02 | test node: 2.116e-01 | test graph: 1.000e-01
[EPOCH 5601] | train acc: 3.290e-01 | val acc: 2.390e-01 | val graph: 9.400e-02 | test node: 2.131e-01 | test graph: 1.010e-01
[EPOCH 5701] | train acc: 3.316e-01 | val acc: 2.406e-01 | val graph: 9.400e-02 | test node: 2.150e-01 | test graph: 1.020e-01
[EPOCH 5801] | train acc: 3.368e-01 | val acc: 2.459e-01 | val graph: 9.600e-02 | test node: 2.201e-01 | test graph: 1.110e-01
[EPOCH 5901] | train acc: 3.509e-01 | val acc: 2.496e-01 | val graph: 9.200e-02 | test node: 2.247e-01 | test graph: 1.090e-01
[EPOCH 6001] | train acc: 3.419e-01 | val acc: 2.463e-01 | val graph: 9.400e-02 | test node: 2.213e-01 | test graph: 1.100e-01
[EPOCH 6101] | train acc: 3.522e-01 | val acc: 2.488e-01 | val graph: 9.200e-02 | test node: 2.203e-01 | test graph: 1.070e-01
[EPOCH 6201] | train acc: 3.869e-01 | val acc: 2.606e-01 | val graph: 9.400e-02 | test node: 2.317e-01 | test graph: 1.140e-01
[EPOCH 6301] | train acc: 4.049e-01 | val acc: 2.786e-01 | val graph: 1.100e-01 | test node: 2.502e-01 | test graph: 1.210e-01
[EPOCH 6401] | train acc: 5.566e-01 | val acc: 3.999e-01 | val graph: 1.940e-01 | test node: 3.856e-01 | test graph: 2.020e-01
[EPOCH 6501] | train acc: 5.540e-01 | val acc: 4.240e-01 | val graph: 1.760e-01 | test node: 4.111e-01 | test graph: 1.990e-01
[EPOCH 6601] | train acc: 5.797e-01 | val acc: 4.612e-01 | val graph: 2.560e-01 | test node: 4.535e-01 | test graph: 2.670e-01
[EPOCH 6701] | train acc: 5.758e-01 | val acc: 4.739e-01 | val graph: 2.660e-01 | test node: 4.669e-01 | test graph: 2.810e-01
[EPOCH 6801] | train acc: 5.784e-01 | val acc: 4.571e-01 | val graph: 2.640e-01 | test node: 4.425e-01 | test graph: 2.540e-01
[EPOCH 6901] | train acc: 5.720e-01 | val acc: 4.416e-01 | val graph: 2.320e-01 | test node: 4.285e-01 | test graph: 2.520e-01
[EPOCH 7001] | train acc: 4.974e-01 | val acc: 3.889e-01 | val graph: 2.100e-01 | test node: 3.807e-01 | test graph: 2.190e-01
[EPOCH 7101] | train acc: 4.062e-01 | val acc: 3.431e-01 | val graph: 2.140e-01 | test node: 3.283e-01 | test graph: 2.100e-01
[EPOCH 7201] | train acc: 5.771e-01 | val acc: 4.506e-01 | val graph: 2.560e-01 | test node: 4.389e-01 | test graph: 2.520e-01
[EPOCH 7301] | train acc: 6.774e-01 | val acc: 6.250e-01 | val graph: 3.600e-01 | test node: 6.131e-01 | test graph: 3.690e-01
[EPOCH 7401] | train acc: 5.874e-01 | val acc: 4.971e-01 | val graph: 3.080e-01 | test node: 4.849e-01 | test graph: 2.980e-01
[EPOCH 7501] | train acc: 5.848e-01 | val acc: 5.098e-01 | val graph: 3.120e-01 | test node: 4.943e-01 | test graph: 3.150e-01
[EPOCH 7601] | train acc: 5.861e-01 | val acc: 5.106e-01 | val graph: 3.180e-01 | test node: 4.941e-01 | test graph: 3.150e-01
[EPOCH 7701] | train acc: 5.848e-01 | val acc: 5.135e-01 | val graph: 3.200e-01 | test node: 4.945e-01 | test graph: 3.170e-01
[EPOCH 7801] | train acc: 6.208e-01 | val acc: 5.208e-01 | val graph: 3.180e-01 | test node: 5.047e-01 | test graph: 3.160e-01
[EPOCH 7901] | train acc: 5.913e-01 | val acc: 5.143e-01 | val graph: 3.200e-01 | test node: 4.928e-01 | test graph: 3.060e-01
[EPOCH 8001] | train acc: 5.925e-01 | val acc: 5.139e-01 | val graph: 3.120e-01 | test node: 4.960e-01 | test graph: 3.120e-01
[EPOCH 8101] | train acc: 5.925e-01 | val acc: 5.147e-01 | val graph: 3.140e-01 | test node: 4.932e-01 | test graph: 3.030e-01
[EPOCH 8201] | train acc: 6.542e-01 | val acc: 5.400e-01 | val graph: 3.260e-01 | test node: 5.253e-01 | test graph: 3.280e-01
[EPOCH 8301] | train acc: 6.877e-01 | val acc: 5.752e-01 | val graph: 3.700e-01 | test node: 5.569e-01 | test graph: 3.550e-01
[EPOCH 8401] | train acc: 7.134e-01 | val acc: 6.111e-01 | val graph: 3.600e-01 | test node: 6.133e-01 | test graph: 3.690e-01
[EPOCH 8501] | train acc: 7.005e-01 | val acc: 5.846e-01 | val graph: 3.760e-01 | test node: 5.688e-01 | test graph: 3.700e-01
[EPOCH 8601] | train acc: 7.481e-01 | val acc: 6.507e-01 | val graph: 4.140e-01 | test node: 6.343e-01 | test graph: 4.030e-01
[EPOCH 8701] | train acc: 7.905e-01 | val acc: 7.100e-01 | val graph: 4.640e-01 | test node: 6.861e-01 | test graph: 4.410e-01
[EPOCH 8801] | train acc: 8.033e-01 | val acc: 7.353e-01 | val graph: 4.940e-01 | test node: 7.322e-01 | test graph: 4.850e-01
[EPOCH 8901] | train acc: 8.265e-01 | val acc: 7.839e-01 | val graph: 5.460e-01 | test node: 7.799e-01 | test graph: 5.480e-01
[EPOCH 9001] | train acc: 8.355e-01 | val acc: 7.962e-01 | val graph: 5.660e-01 | test node: 7.920e-01 | test graph: 5.650e-01
[EPOCH 9101] | train acc: 8.355e-01 | val acc: 7.998e-01 | val graph: 5.720e-01 | test node: 7.952e-01 | test graph: 5.710e-01
[EPOCH 9201] | train acc: 8.419e-01 | val acc: 8.011e-01 | val graph: 5.660e-01 | test node: 7.975e-01 | test graph: 5.730e-01
[EPOCH 9301] | train acc: 8.368e-01 | val acc: 7.913e-01 | val graph: 5.600e-01 | test node: 7.924e-01 | test graph: 5.620e-01
[EPOCH 9401] | train acc: 9.075e-01 | val acc: 8.096e-01 | val graph: 5.680e-01 | test node: 8.016e-01 | test graph: 5.710e-01
[EPOCH 9501] | train acc: 1.298e-01 | val acc: 1.033e-01 | val graph: 6.800e-02 | test node: 1.021e-01 | test graph: 6.100e-02
[EPOCH 9601] | train acc: 1.298e-01 | val acc: 1.033e-01 | val graph: 6.800e-02 | test node: 1.012e-01 | test graph: 6.000e-02
[EPOCH 9701] | train acc: 1.645e-01 | val acc: 1.148e-01 | val graph: 3.000e-02 | test node: 9.083e-02 | test graph: 4.700e-02
[EPOCH 9801] | train acc: 1.645e-01 | val acc: 1.156e-01 | val graph: 3.000e-02 | test node: 9.083e-02 | test graph: 4.700e-02
[EPOCH 9901] | train acc: 1.247e-01 | val acc: 1.495e-01 | val graph: 1.180e-01 | test node: 1.594e-01 | test graph: 1.120e-01
[EPOCH 10001] | train acc: 1.247e-01 | val acc: 1.495e-01 | val graph: 1.180e-01 | test node: 1.594e-01 | test graph: 1.120e-01
[EPOCH 10101] | train acc: 1.247e-01 | val acc: 1.495e-01 | val graph: 1.180e-01 | test node: 1.594e-01 | test graph: 1.120e-01
