----------------------------------------------------------------------------------------------------
Make Directory citeseer/Gaussian_GATConv in Logs
[91mSep27-08:58:39[0m
----------------------------------------------------------------------------------------------------
[citeseer]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0001 unweighted_MSE=False diffusion_steps=80 schedule=True weight_decay=0.0001 cat=False skip=False
nhid=256 layers=2 linears=2
----------------------------------------------------------------------------------------------------
[EPOCH 0001] | train acc: 1.198e-01 | val acc: 1.213e-01 | val graph: 9.800e-02 | test node: 1.446e-01 | test graph: 1.180e-01
[EPOCH 0101] | train acc: 1.343e-01 | val acc: 1.801e-01 | val graph: 1.540e-01 | test node: 2.055e-01 | test graph: 1.580e-01
[EPOCH 0201] | train acc: 1.384e-01 | val acc: 1.801e-01 | val graph: 1.540e-01 | test node: 2.053e-01 | test graph: 1.580e-01
[EPOCH 0301] | train acc: 1.488e-01 | val acc: 7.680e-02 | val graph: 2.800e-02 | test node: 6.596e-02 | test graph: 3.000e-02
[EPOCH 0401] | train acc: 1.260e-01 | val acc: 1.202e-01 | val graph: 2.600e-02 | test node: 9.789e-02 | test graph: 2.200e-02
[EPOCH 0501] | train acc: 1.818e-01 | val acc: 2.717e-01 | val graph: 6.600e-02 | test node: 2.354e-01 | test graph: 5.700e-02
[EPOCH 0601] | train acc: 2.190e-01 | val acc: 2.214e-01 | val graph: 6.800e-02 | test node: 2.351e-01 | test graph: 6.700e-02
[EPOCH 0701] | train acc: 1.674e-01 | val acc: 1.732e-01 | val graph: 7.400e-02 | test node: 1.702e-01 | test graph: 7.900e-02
[EPOCH 0801] | train acc: 2.355e-01 | val acc: 2.648e-01 | val graph: 1.100e-01 | test node: 2.488e-01 | test graph: 8.600e-02
[EPOCH 0901] | train acc: 2.459e-01 | val acc: 2.722e-01 | val graph: 1.160e-01 | test node: 2.501e-01 | test graph: 8.700e-02
[EPOCH 1001] | train acc: 3.306e-01 | val acc: 2.828e-01 | val graph: 1.140e-01 | test node: 2.522e-01 | test graph: 9.600e-02
[EPOCH 1101] | train acc: 2.707e-01 | val acc: 2.108e-01 | val graph: 1.020e-01 | test node: 1.950e-01 | test graph: 9.700e-02
[EPOCH 1201] | train acc: 2.831e-01 | val acc: 2.733e-01 | val graph: 1.180e-01 | test node: 2.594e-01 | test graph: 9.400e-02
[EPOCH 1301] | train acc: 3.926e-01 | val acc: 3.305e-01 | val graph: 1.380e-01 | test node: 2.947e-01 | test graph: 1.140e-01
[EPOCH 1401] | train acc: 2.417e-01 | val acc: 2.627e-01 | val graph: 1.100e-01 | test node: 2.485e-01 | test graph: 9.100e-02
[EPOCH 1501] | train acc: 2.479e-01 | val acc: 1.806e-01 | val graph: 8.600e-02 | test node: 1.723e-01 | test graph: 9.200e-02
[EPOCH 1601] | train acc: 2.128e-01 | val acc: 2.039e-01 | val graph: 1.240e-01 | test node: 1.834e-01 | test graph: 9.800e-02
[EPOCH 1701] | train acc: 5.041e-01 | val acc: 3.596e-01 | val graph: 1.780e-01 | test node: 3.227e-01 | test graph: 1.450e-01
[EPOCH 1801] | train acc: 4.463e-01 | val acc: 3.776e-01 | val graph: 1.620e-01 | test node: 3.309e-01 | test graph: 1.310e-01
[EPOCH 1901] | train acc: 2.748e-01 | val acc: 2.871e-01 | val graph: 1.260e-01 | test node: 2.731e-01 | test graph: 1.010e-01
[EPOCH 2001] | train acc: 2.417e-01 | val acc: 2.669e-01 | val graph: 1.100e-01 | test node: 2.488e-01 | test graph: 9.000e-02
