----------------------------------------------------------------------------------------------------
Make Directory cora/Gaussian_GATConv in Logs
[91mSep27-09:44:47[0m
----------------------------------------------------------------------------------------------------
[cora]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0001 unweighted_MSE=False diffusion_steps=40 schedule=True weight_decay=0.001 cat=False skip=True
nhid=256 layers=4 linears=2
----------------------------------------------------------------------------------------------------
[EPOCH 0001] | train acc: 1.491e-01 | val acc: 1.111e-01 | val graph: 6.200e-02 | test node: 1.104e-01 | test graph: 5.500e-02
[EPOCH 0101] | train acc: 1.645e-01 | val acc: 1.168e-01 | val graph: 1.600e-02 | test node: 9.911e-02 | test graph: 3.600e-02
[EPOCH 0201] | train acc: 1.697e-01 | val acc: 1.601e-01 | val graph: 1.000e-02 | test node: 1.500e-01 | test graph: 1.200e-02
[EPOCH 0301] | train acc: 1.979e-01 | val acc: 2.410e-01 | val graph: 4.600e-02 | test node: 2.254e-01 | test graph: 4.000e-02
[EPOCH 0401] | train acc: 2.365e-01 | val acc: 2.157e-01 | val graph: 2.600e-02 | test node: 1.997e-01 | test graph: 2.400e-02
[EPOCH 0501] | train acc: 2.365e-01 | val acc: 2.149e-01 | val graph: 4.200e-02 | test node: 2.010e-01 | test graph: 3.100e-02
[EPOCH 0601] | train acc: 2.532e-01 | val acc: 2.132e-01 | val graph: 4.800e-02 | test node: 2.033e-01 | test graph: 3.100e-02
[EPOCH 0701] | train acc: 1.748e-01 | val acc: 1.397e-01 | val graph: 2.200e-02 | test node: 1.159e-01 | test graph: 4.000e-02
[EPOCH 0801] | train acc: 1.941e-01 | val acc: 1.777e-01 | val graph: 6.000e-02 | test node: 1.757e-01 | test graph: 6.000e-02
[EPOCH 0901] | train acc: 2.005e-01 | val acc: 2.177e-01 | val graph: 5.200e-02 | test node: 1.950e-01 | test graph: 5.700e-02
[EPOCH 1001] | train acc: 2.481e-01 | val acc: 2.247e-01 | val graph: 3.600e-02 | test node: 2.050e-01 | test graph: 3.400e-02
[EPOCH 1101] | train acc: 2.622e-01 | val acc: 2.369e-01 | val graph: 4.600e-02 | test node: 2.226e-01 | test graph: 4.000e-02
[EPOCH 1201] | train acc: 2.712e-01 | val acc: 2.410e-01 | val graph: 4.800e-02 | test node: 2.290e-01 | test graph: 4.900e-02
[EPOCH 1301] | train acc: 3.098e-01 | val acc: 2.667e-01 | val graph: 4.200e-02 | test node: 2.545e-01 | test graph: 4.700e-02
[EPOCH 1401] | train acc: 1.298e-01 | val acc: 1.258e-01 | val graph: 6.600e-02 | test node: 1.222e-01 | test graph: 5.900e-02
[EPOCH 1501] | train acc: 2.738e-01 | val acc: 2.569e-01 | val graph: 5.600e-02 | test node: 2.453e-01 | test graph: 5.900e-02
[EPOCH 1601] | train acc: 2.558e-01 | val acc: 2.239e-01 | val graph: 5.200e-02 | test node: 2.120e-01 | test graph: 4.800e-02
[EPOCH 1701] | train acc: 3.535e-01 | val acc: 2.590e-01 | val graph: 5.600e-02 | test node: 2.402e-01 | test graph: 5.700e-02
[EPOCH 1801] | train acc: 2.609e-01 | val acc: 2.190e-01 | val graph: 5.600e-02 | test node: 2.093e-01 | test graph: 5.600e-02
[EPOCH 1901] | train acc: 2.378e-01 | val acc: 2.324e-01 | val graph: 5.800e-02 | test node: 2.247e-01 | test graph: 5.800e-02
[EPOCH 2001] | train acc: 2.211e-01 | val acc: 2.075e-01 | val graph: 6.200e-02 | test node: 1.982e-01 | test graph: 5.800e-02
[EPOCH 2101] | train acc: 3.316e-01 | val acc: 2.484e-01 | val graph: 5.600e-02 | test node: 2.243e-01 | test graph: 6.100e-02
[EPOCH 2201] | train acc: 1.645e-01 | val acc: 1.148e-01 | val graph: 3.000e-02 | test node: 9.083e-02 | test graph: 4.700e-02
[EPOCH 2301] | train acc: 3.175e-01 | val acc: 2.627e-01 | val graph: 6.400e-02 | test node: 2.500e-01 | test graph: 6.200e-02
[EPOCH 2401] | train acc: 3.290e-01 | val acc: 2.574e-01 | val graph: 5.400e-02 | test node: 2.470e-01 | test graph: 6.600e-02
[EPOCH 2501] | train acc: 2.738e-01 | val acc: 2.496e-01 | val graph: 6.000e-02 | test node: 2.502e-01 | test graph: 7.300e-02
[EPOCH 2601] | train acc: 4.653e-01 | val acc: 3.117e-01 | val graph: 6.600e-02 | test node: 2.948e-01 | test graph: 8.400e-02
[EPOCH 2701] | train acc: 4.229e-01 | val acc: 2.847e-01 | val graph: 6.600e-02 | test node: 2.695e-01 | test graph: 7.000e-02
[EPOCH 2801] | train acc: 5.064e-01 | val acc: 3.415e-01 | val graph: 8.000e-02 | test node: 3.185e-01 | test graph: 9.500e-02
[EPOCH 2901] | train acc: 4.743e-01 | val acc: 3.374e-01 | val graph: 7.600e-02 | test node: 3.162e-01 | test graph: 9.900e-02
[EPOCH 3001] | train acc: 3.355e-01 | val acc: 3.096e-01 | val graph: 1.140e-01 | test node: 3.268e-01 | test graph: 1.230e-01
[EPOCH 3101] | train acc: 4.062e-01 | val acc: 2.904e-01 | val graph: 7.600e-02 | test node: 2.744e-01 | test graph: 7.600e-02
[EPOCH 3201] | train acc: 4.100e-01 | val acc: 2.782e-01 | val graph: 6.400e-02 | test node: 2.649e-01 | test graph: 8.600e-02
[EPOCH 3301] | train acc: 1.491e-01 | val acc: 1.556e-01 | val graph: 1.100e-01 | test node: 1.526e-01 | test graph: 1.070e-01
[EPOCH 3401] | train acc: 2.468e-01 | val acc: 2.382e-01 | val graph: 9.200e-02 | test node: 2.262e-01 | test graph: 8.400e-02
[EPOCH 3501] | train acc: 4.987e-01 | val acc: 2.953e-01 | val graph: 6.000e-02 | test node: 2.818e-01 | test graph: 7.400e-02
[EPOCH 3601] | train acc: 1.298e-01 | val acc: 1.038e-01 | val graph: 6.800e-02 | test node: 1.019e-01 | test graph: 6.100e-02
[EPOCH 3701] | train acc: 4.139e-01 | val acc: 2.553e-01 | val graph: 6.000e-02 | test node: 2.466e-01 | test graph: 7.000e-02
[EPOCH 3801] | train acc: 4.447e-01 | val acc: 2.815e-01 | val graph: 6.400e-02 | test node: 2.704e-01 | test graph: 8.200e-02
[EPOCH 3901] | train acc: 3.676e-01 | val acc: 2.418e-01 | val graph: 6.600e-02 | test node: 2.269e-01 | test graph: 8.200e-02
[EPOCH 4001] | train acc: 1.311e-01 | val acc: 1.781e-01 | val graph: 1.200e-01 | test node: 1.783e-01 | test graph: 1.140e-01
[EPOCH 4101] | train acc: 4.165e-01 | val acc: 2.606e-01 | val graph: 5.800e-02 | test node: 2.508e-01 | test graph: 8.100e-02
[EPOCH 4201] | train acc: 3.728e-01 | val acc: 2.541e-01 | val graph: 7.600e-02 | test node: 2.347e-01 | test graph: 8.500e-02
[EPOCH 4301] | train acc: 1.491e-01 | val acc: 1.597e-01 | val graph: 1.100e-01 | test node: 1.604e-01 | test graph: 1.070e-01
[EPOCH 4401] | train acc: 5.656e-01 | val acc: 3.578e-01 | val graph: 1.040e-01 | test node: 3.557e-01 | test graph: 1.150e-01
