----------------------------------------------------------------------------------------------------
Make Directory citeseer/Gaussian_SAGEConv in Logs
[91mNov28-16:43:57[0m
----------------------------------------------------------------------------------------------------
[citeseer]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0005 unweighted_MSE=False diffusion_steps=80 schedule=True weight_decay=0.001 cat=False skip=False
nhid=64 layers=4 linears=2
----------------------------------------------------------------------------------------------------
[EPOCH 0001] | train acc: 1.260e-01 | val acc: 1.017e-01 | val graph: 2.800e-02 | test node: 1.042e-01 | test graph: 2.600e-02
[EPOCH 0101] | train acc: 1.198e-01 | val acc: 1.213e-01 | val graph: 9.800e-02 | test node: 1.446e-01 | test graph: 1.180e-01
[EPOCH 0201] | train acc: 1.198e-01 | val acc: 1.213e-01 | val graph: 9.800e-02 | test node: 1.446e-01 | test graph: 1.180e-01
[EPOCH 0301] | train acc: 2.087e-01 | val acc: 2.087e-01 | val graph: 1.340e-01 | test node: 1.834e-01 | test graph: 1.080e-01
[EPOCH 0401] | train acc: 2.087e-01 | val acc: 2.087e-01 | val graph: 1.340e-01 | test node: 1.834e-01 | test graph: 1.080e-01
[EPOCH 0501] | train acc: 2.376e-01 | val acc: 2.627e-01 | val graph: 1.120e-01 | test node: 2.441e-01 | test graph: 8.900e-02
[EPOCH 0601] | train acc: 1.198e-01 | val acc: 1.224e-01 | val graph: 1.020e-01 | test node: 1.456e-01 | test graph: 1.220e-01
[EPOCH 0701] | train acc: 3.657e-01 | val acc: 3.490e-01 | val graph: 1.900e-01 | test node: 3.522e-01 | test graph: 1.880e-01
[EPOCH 0801] | train acc: 4.360e-01 | val acc: 4.338e-01 | val graph: 2.320e-01 | test node: 3.979e-01 | test graph: 1.850e-01
[EPOCH 0901] | train acc: 6.364e-01 | val acc: 5.662e-01 | val graph: 3.280e-01 | test node: 5.356e-01 | test graph: 3.020e-01
[EPOCH 1001] | train acc: 7.045e-01 | val acc: 6.255e-01 | val graph: 3.980e-01 | test node: 6.113e-01 | test graph: 3.670e-01
[EPOCH 1101] | train acc: 7.624e-01 | val acc: 6.568e-01 | val graph: 4.260e-01 | test node: 6.369e-01 | test graph: 3.910e-01
[EPOCH 1201] | train acc: 7.686e-01 | val acc: 6.345e-01 | val graph: 4.020e-01 | test node: 6.227e-01 | test graph: 3.800e-01
[EPOCH 1301] | train acc: 7.934e-01 | val acc: 6.801e-01 | val graph: 4.520e-01 | test node: 6.644e-01 | test graph: 4.220e-01
[EPOCH 1401] | train acc: 8.017e-01 | val acc: 7.320e-01 | val graph: 4.900e-01 | test node: 7.335e-01 | test graph: 4.820e-01
[EPOCH 1501] | train acc: 7.893e-01 | val acc: 7.447e-01 | val graph: 5.100e-01 | test node: 7.417e-01 | test graph: 5.020e-01
[EPOCH 1601] | train acc: 8.244e-01 | val acc: 7.267e-01 | val graph: 4.980e-01 | test node: 7.296e-01 | test graph: 4.860e-01
